s,SA
Sumer,シュメール語
Sumerian,住友
Sumitomo,即座に
summarily,まとめる
summarize,サマリー
summary,総和
summation,夏
summer,サマーハウス
summerhouse,サマータイム
summertime,夏らしい　
summery,サミット
summit,召喚
summon,召喚状
summons,相撲
sumo,豪華な
sumptuous,太陽
Sun,日光浴
sunbathe,太陽光線
sunbeam,日焼け止めクリーム
sunblock,日焼け
sunburn,日焼け
sunburned,サンデー
sundae,日曜日
Sunday,日時計
sundial,日没
sundown,諸
sundry,マンボウ
sunfish,ヒマワリ
sunflower,サングラス
sunglass,沈んだ
sunken,日光
sunlight,太陽に照らされた
sunlit,晴れた
sunny,サニーデール
Sunnydale,サニーベール
Sunnyvale,日の出
sunrise,日焼け止め剤
sunscreen,日没
sunset,太陽の光
sunshine,日焼け
suntan,少しずつ口に入れる
sup,スーパー
super,素晴らしい　
superb,見事に
superbly,過給された
supercharged,傲慢な
supercilious,超らせん
supercoil,スーパーコンピュータ
supercomputer,超自我
superego,上科
superfamily,表面的な
superficial,表面的に
superficially,余分な
superfluous,スーパーファンド
superfund,スーパーヒーロー
superhero,高速道路
superhighway,超人的な
superhuman,スーパーインポーズ
superimpose,重感染
superinfected,重複感染
superinfection,監督
superintendent,優れた
superior,優位性
superiority,最上級
superlative,スーパーマン
superman,スーパーマーケット
supermarket,スーパーモデル
supermodel,上澄み
supernatant,超自然の
supernatural,超新星
supernova,定員外の
supernumerary,スーパーオキシド
superoxide,重ね合わせ
superposition,超大国
superpower,上付き文字
superscript,取って代わる
supersede,超音速
supersonic,スーパースター
superstar,迷信
superstition,迷信の
superstitious,スーパーストア
superstore,上部構造
superstructure,監督する
supervise,監督
supervised,監督
supervision,スーパーバイザー
supervisor,監督の
supervisory,あお向けになった
supine,夕食
supper,取って代わる
supplant,取って代わられた 
supplanted,しなやかな
supple,サプリメント
supplement,補足
supplemental,補助的な
supplementary,補充
supplementation,補った
supplemented,嘆願者
supplicant,サプライヤー
supplier,用品
supplies,供給
supply,サポート
support,サポーター
supporter,支持する
supportive,仮定する
suppose,想定
supposed,たぶん
supposedly,仮定
supposition,座薬
suppository,抑える
suppress,抑制
suppression,抑制
suppressive,抑制器
suppressor,上記に
supra,至上主義者
supremacist,至上
supremacy,最高
supreme,最高に
supremely,シュール
sur,サーチャージ
surcharge,確かに
sure,確実な
surefire,確かに
surely,最も確実な
surest,保証人
surety,サーフ
surf,表面
surface,界面活性剤
surfactant,サーフボード
surfboard,過剰
surfeit,サーファー
surfer,サーフィン
surfing,サージ
surge,外科医
surgeon,手術
surgery,外科的な
surgical,外科的に
surgically,スリナム
Surinam,無愛想な
surly,推量する
surmise,推測
surmised,乗り越える
surmount,克服
surmounted,姓
surname,上回る
surpass,黒字
surplus,驚き
surprise,驚いた
surprised,驚くべき
surprising,驚くほど
surprisingly,非現実的な
surreal,シュールレアリズム
surrealism,超現実主義者
surrealist,降伏
surrender,秘密の
surreptitious,こっそり
surreptitiously,サリー
Surrey,サロゲート
surrogate,サラウンド
surround,周囲の
surrounding,周囲
surroundings,サーベイランス
surveillance,調査
survey,検査官
surveyor,存続可能な
survivable,生存
survival,生き残る
survive,生存者
survivor,SUS
SUS,スーザン
Susan,敏感
susceptibility,影響を受けやすい　
susceptible,寿司
sushi,容疑者
suspect,サスペンド
suspend,サスペンダー
suspenders,サスペンス
suspense,サスペンスに満ちた
suspenseful,サスペンション
suspension,疑い
suspicion,疑わしい　
suspicious,疑い深く
suspiciously,疑い
suss,サセックス
Sussex,サステイン
sustain,持続可能性
sustainability,持続可能な
sustainable,持続した
sustained,栄養
sustenance,経典
sutra,縫合糸
suture,スザンヌ
Suzanne,蘇州
Suzhou,スズキ
Suzuki,しなやかな
svelte,綿棒
swab,押さえつける
swaddle,みやげ品
swag,自慢
swagger,スウェイン
swain,飲み込む
swallow,沼
swamp,沼沢地
swampland,沼地の
swampy,白鳥
swan,しゃれた
swank,しゃれた
swanky,スワップ
swap,草地
sward,群れ
swarm,群がった
swarmed,かぎ十字
swastika,ぴしゃりと打つ
swat,材料見本
swatch,スワース
swath,包帯
swathe,スウェイ
sway,スワジランド
Swaziland,誓う
swear,宣誓
swearing,下品な言葉
swearword,汗
sweat,セーター
sweater,発汗
sweating,スウェットシャツ
sweatshirt,搾取
sweatshop,汗まみれの
sweaty,スウェーデン人
Swede,スウェーデン
Sweden,スウェーデン語
Swedish,スウィーニー
Sweeney,スイープ
sweep,スイーパー
sweeper,掃除
sweeping,宝くじ
sweepstakes,甘い
sweet,甘くする
sweeten,甘味料
sweetener,甘い　
sweeter,甘い　
sweetest,恋人
sweetheart,甘いもの
sweetie,甘く
sweetly,甘さ
sweetness,うねり
swell,腫れ
swelling,暑さにまいる
swelter,スウェプト
swept,それる
swerve,スイフト
swift,迅速に
swiftly,迅速性
swiftness,ガブガブ飲む
swig,がぶ飲み
swill,スイム
swim,スイマー
swimmer,水泳
swimming,水着
swimsuit,詐欺
swindle,詐欺師
swindler,豚
swine,スイング
swing,スインガー
swinger,スイング
swinging,スワイプ
swipe,スワール
swirl,スウィッシュ
swish,スイス
Swiss,スイッチ
switch,配電盤
switchboard,切り替え
switching,スイス
Switzerland,スイベル
swivel,膨張した
swollen,気絶
swoon,急襲
swoop,スウッシュ
swoosh,剣
sword,メカジキ
swordfish,快楽的な
sybaritic,プラタナス
sycamore,ごまをする
sycophant,シドニー
Sydney,SYK
Syk,音節
syllable,シラバス
syllabus,三段論法
syllogism,シルヴァン
sylvan,シルベスター
Sylvester,共生生物
symbiont,共生
symbiosis,共生の
symbiotic,シンボル
symbol,シンボリック
symbolic,象徴的に
symbolically,シンボリズム
symbolism,象徴の
symbolist,象徴する
symbolize,対称な
symmetric,対称の
symmetrical,対称性
symmetry,交感神経
sympathetic,同情して
sympathetically,同情する
sympathise,同情する
sympathize,同情
sympathized,同調者
sympathizer,同情
sympathy,同所性の
sympatric,交響曲の
symphonic,交響曲
symphony,シンポジウム
symposium,症状
symptom,症状を示す
symptomatic,シナゴーグ
Synagogue,シナプス
synapse,シナプスの
synaptic,同期する
sync,同期
synchronization,同期する
synchronize,シンクロナス
synchronous,同調性
synchrony,合胞体
syncytial,合胞体
syncytium,シンジケート
syndicate,シンジケーション
syndication,症候群
syndrome,症候群の
syndromic,あれから
syne,提喩
synecdoche,相乗的な
synergistic,相乗的に
synergistically,相乗作用を与える
synergize,相乗効果
synergy,同義語
synonym,同義の
synonymous,概要
synopsis,滑液の
synovial,滑膜炎
synovitis,滑膜
synovium,構文
syntax,シンテニーの
Syntenic,シンテニー
synteny,シンターゼ
synthase,合成
synthesis,合成する
synthesize,合成された
synthesized,シンセサイザー
synthesizer,合成酵素
synthetase,合成
synthetic,梅毒
syphilis,梅毒の
syphilitic,シラキュース
Syracuse,シリア
Syria,シリアの
Syrian,注射器
syringe,シロップ
syrup,システム
system,系統的
systematic,体系的に
systematically,全身の
systemic,全身的に
systemically,シストリック
systolic,t
